election_year,precinct_name,registered_voters,ballots_cast,race_category,contest,candidate_name,party,votes,total_votes_in_race,over_votes,under_votes,vote_share_pct,turnout_pct
2022,KAISER 035,290,217,Legislative District 22,Representative Position 1,Beth Doglio,D,144,210,0,7,68.57,74.83
2022,KAISER 035,290,217,Legislative District 22,Representative Position 1,Loretta Byrnes,R,65,210,0,7,30.95,74.83
2022,KAISER 035,290,217,Legislative District 22,Representative Position 1,Write-in,Other,1,210,0,7,0.48,74.83
2022,KAISER 035,290,217,Legislative District 22,Representative Position 2,Jessica Bateman,D,145,210,0,7,69.05,74.83
2022,KAISER 035,290,217,Legislative District 22,Representative Position 2,Kate Plager,R,64,210,0,7,30.48,74.83
2022,KAISER 035,290,217,Legislative District 22,Representative Position 2,Write-in,Other,1,210,0,7,0.48,74.83
2022,JONES BEACH 039,928,667,Legislative District 22,Representative Position 1,Beth Doglio,D,346,658,0,9,52.58,71.88
2022,JONES BEACH 039,928,667,Legislative District 22,Representative Position 1,Loretta Byrnes,R,311,658,0,9,47.26,71.88
2022,JONES BEACH 039,928,667,Legislative District 22,Representative Position 1,Write-in,Other,1,658,0,9,0.15,71.88
2022,JONES BEACH 039,928,667,Legislative District 22,Representative Position 2,Jessica Bateman,D,353,655,0,12,53.89,71.88
2022,JONES BEACH 039,928,667,Legislative District 22,Representative Position 2,Kate Plager,R,302,655,0,12,46.11,71.88
2022,JONES BEACH 039,928,667,Legislative District 22,Representative Position 2,Write-in,Other,0,655,0,12,0.0,71.88
2022,WOODARD CREEK 047,656,463,Legislative District 22,Representative Position 1,Beth Doglio,D,257,456,0,7,56.36,70.58
2022,WOODARD CREEK 047,656,463,Legislative District 22,Representative Position 1,Loretta Byrnes,R,199,456,0,7,43.64,70.58
2022,WOODARD CREEK 047,656,463,Legislative District 22,Representative Position 1,Write-in,Other,0,456,0,7,0.0,70.58
2022,WOODARD CREEK 047,656,463,Legislative District 22,Representative Position 2,Jessica Bateman,D,258,455,0,0,56.7,70.58
2022,WOODARD CREEK 047,656,463,Legislative District 22,Representative Position 2,Kate Plager,R,197,455,0,0,43.3,70.58
2022,WOODARD CREEK 047,656,463,Legislative District 22,Representative Position 2,Write-in,Other,0,455,0,0,0.0,70.58
2022,AMES 063,548,425,Legislative District 22,Representative Position 1,Beth Doglio,D,284,416,0,9,68.27,77.55
2022,AMES 063,548,425,Legislative District 22,Representative Position 1,Loretta Byrnes,R,131,416,0,9,31.49,77.55
2022,AMES 063,548,425,Legislative District 22,Representative Position 1,Write-in,Other,1,416,0,9,0.24,77.55
2022,AMES 063,548,425,Legislative District 22,Representative Position 2,Jessica Bateman,D,282,417,0,8,67.63,77.55
2022,AMES 063,548,425,Legislative District 22,Representative Position 2,Kate Plager,R,134,417,0,8,32.13,77.55
2022,AMES 063,548,425,Legislative District 22,Representative Position 2,Write-in,Other,1,417,0,8,0.24,77.55
2022,LUHR BEACH 065,808,592,Legislative District 22,Representative Position 1,Beth Doglio,D,303,582,0,10,52.06,73.27
2022,LUHR BEACH 065,808,592,Legislative District 22,Representative Position 1,Loretta Byrnes,R,279,582,0,10,47.94,73.27
2022,LUHR BEACH 065,808,592,Legislative District 22,Representative Position 1,Write-in,Other,0,582,0,10,0.0,73.27
2022,LUHR BEACH 065,808,592,Legislative District 22,Representative Position 2,Jessica Bateman,D,307,583,0,9,52.66,73.27
2022,LUHR BEACH 065,808,592,Legislative District 22,Representative Position 2,Kate Plager,R,276,583,0,9,47.34,73.27
2022,LUHR BEACH 065,808,592,Legislative District 22,Representative Position 2,Write-in,Other,0,583,0,9,0.0,73.27
2022,FISHTRAP 066,555,450,Legislative District 22,Representative Position 1,Beth Doglio,D,283,442,0,8,64.03,81.08
2022,FISHTRAP 066,555,450,Legislative District 22,Representative Position 1,Loretta Byrnes,R,159,442,0,8,35.97,81.08
