Precinct,Ballots (2024),Turnout % (2024),Pos 1 winner share (2024),Pos 1 margin (2024 pts),Pos 1 closeness band,Pos 2 winner share (2024),Pos 2 margin (2024 pts),Pos 2 closeness band,Doglio share 2022 (Pos 1),Doglio share 2024 (Pos 1),Doglio change (pts),Doglio change band,Opportunity Score,Tier
WOODARD CREEK 047,538.0,81.8,55.8,12.5,Close (10-20 pts),54.6,12.2,Close (10-20 pts),56.4,55.8,-0.5,Flat (+/-2 pts),83.0,TIER 1 - TOP
LACEY #4 304,402.0,72.2,57.2,16.0,Close (10-20 pts),53.8,11.9,Close (10-20 pts),57.9,57.2,-0.7,Flat (+/-2 pts),77.6,TIER 1 - TOP
HAWK ACRES 076,540.0,79.2,49.5,0.6,Very close (<=10 pts),57.7,21.5,One-sided (20-35 pts),43.6,48.9,5.3,Up 5+ pts,76.4,TIER 1 - TOP
ROOSEVELT 112,749.0,84.2,57.5,15.5,Close (10-20 pts),58.0,17.4,Close (10-20 pts),54.9,57.5,2.6,Up 2-5 pts,71.5,TIER 1 - TOP
LACEY #19 319,385.0,71.4,56.5,13.8,Close (10-20 pts),54.6,15.6,Close (10-20 pts),52.8,56.5,3.7,Up 2-5 pts,69.4,TIER 2 - HIGH
TUMWATER #9 409,487.0,81.3,57.0,14.7,Close (10-20 pts),59.6,23.3,One-sided (20-35 pts),57.1,57.0,-0.1,Flat (+/-2 pts),68.8,TIER 2 - HIGH
LACEY #20 320,228.0,77.6,61.1,22.7,One-sided (20-35 pts),59.2,21.8,One-sided (20-35 pts),66.3,61.1,-5.2,Down 5+ pts,68.0,TIER 2 - HIGH
PLEASANT GLADE 109,379.0,81.2,55.7,12.6,Close (10-20 pts),58.4,22.8,One-sided (20-35 pts),52.2,55.7,3.6,Up 2-5 pts,65.3,TIER 2 - HIGH
PATTISON WEST 178,236.0,79.2,58.8,18.2,Close (10-20 pts),61.3,24.1,One-sided (20-35 pts),60.4,58.8,-1.5,Flat (+/-2 pts),65.0,TIER 2 - HIGH
LACEY #17 317,627.0,80.7,58.9,18.4,Close (10-20 pts),59.1,21.8,One-sided (20-35 pts),57.2,58.9,1.6,Flat (+/-2 pts),64.6,TIER 2 - HIGH
